taxonomy,Species,Bacteria,totalspore,distance_from_discoideum
Dictyostelium_discoideum,discoideum,B859,56388480,0
Dictyostelium_discoideum,discoideum,B859,66759840,0
Dictyostelium_discoideum,discoideum,B859,292412400,0
Dictyostelium_discoideum,discoideum,B859,347170020,0
Dictyostelium_discoideum,discoideum,KP,241518480,0
Dictyostelium_discoideum,discoideum,KP,591402000,0
Dictyostelium_discoideum,discoideum,KP,477190020,0
Dictyostelium_discoideum,discoideum,KP,89950840,0
Dictyostelium_discoideum,discoideum,KP,214643080,0
Dictyostelium_giganteum,giganteum,B11,223722240,0.04915635
Dictyostelium_giganteum,giganteum,B11,449576400,0.04915635
Dictyostelium_giganteum,giganteum,B11,550703040,0.04915635
Dictyostelium_giganteum,giganteum,B70,285412480,0.04915635
Dictyostelium_giganteum,giganteum,B70,444209680,0.04915635
Dictyostelium_giganteum,giganteum,B70,527995280,0.04915635
Dictyostelium_giganteum,giganteum,B859,259316640,0.04915635
Dictyostelium_giganteum,giganteum,B859,512094400,0.04915635
Dictyostelium_giganteum,giganteum,B859,518996400,0.04915635
Dictyostelium_giganteum,giganteum,KP,530000000,0.04915635
Dictyostelium_giganteum,giganteum,KP,588318940,0.04915635
Dictyostelium_giganteum,giganteum,KP,450679980,0.04915635
Dictyostelium_giganteum,giganteum,B11,396670280,0.04915635
Dictyostelium_giganteum,giganteum,B11,611336000,0.04915635
Dictyostelium_giganteum,giganteum,B11,126842040,0.04915635
Dictyostelium_giganteum,giganteum,B11,42853800,0.04915635
Dictyostelium_giganteum,giganteum,B11,387442320,0.04915635
Dictyostelium_giganteum,giganteum,B70,307747640,0.04915635
Dictyostelium_giganteum,giganteum,B70,370179780,0.04915635
Dictyostelium_giganteum,giganteum,B70,373532400,0.04915635
Dictyostelium_giganteum,giganteum,B70,27940140,0.04915635
Dictyostelium_giganteum,giganteum,B70,548826300,0.04915635
Dictyostelium_giganteum,giganteum,B859,135714320,0.04915635
Dictyostelium_giganteum,giganteum,B859,231860880,0.04915635
Dictyostelium_giganteum,giganteum,B859,480732420,0.04915635
Dictyostelium_giganteum,giganteum,B859,31166880,0.04915635
Dictyostelium_giganteum,giganteum,B859,626067200,0.04915635
Dictyostelium_giganteum,giganteum,KP,299683760,0.04915635
Dictyostelium_giganteum,giganteum,KP,337968360,0.04915635
Dictyostelium_giganteum,giganteum,KP,420799300,0.04915635
Dictyostelium_giganteum,giganteum,KP,38115840,0.04915635
Dictyostelium_giganteum,giganteum,KP,699658460,0.04915635
NA,pallidum,B11,35118420,NA
NA,pallidum,B11,19115420,NA
NA,pallidum,B11,6529240,NA
NA,pallidum,B11,108344580,NA
NA,pallidum,B70,19347700,NA
NA,pallidum,B70,9078000,NA
NA,pallidum,B70,5241600,NA
NA,pallidum,B70,64416000,NA
NA,pallidum,B859,25989920,NA
NA,pallidum,B859,14036580,NA
NA,pallidum,B859,239703200,NA
NA,pallidum,B859,6018660,NA
NA,pallidum,KP,23815120,NA
NA,pallidum,KP,12166200,NA
NA,pallidum,KP,8449440,NA
NA,pallidum,KP,107502420,NA
NA,pallidum,KP,47277000,NA
Dictyostelium_purpureum,purpureum,B11,224016240,0.18514417
Dictyostelium_purpureum,purpureum,B11,359021160,0.18514417
Dictyostelium_purpureum,purpureum,B11,492054800,0.18514417
Dictyostelium_purpureum,purpureum,B70,174724300,0.18514417
Dictyostelium_purpureum,purpureum,B70,370969600,0.18514417
Dictyostelium_purpureum,purpureum,B70,472029120,0.18514417
Dictyostelium_purpureum,purpureum,B859,237000180,0.18514417
Dictyostelium_purpureum,purpureum,B859,342100320,0.18514417
Dictyostelium_purpureum,purpureum,B859,594700080,0.18514417
Dictyostelium_purpureum,purpureum,KP,352499160,0.18514417
Dictyostelium_purpureum,purpureum,KP,564569320,0.18514417
Dictyostelium_purpureum,purpureum,KP,678231840,0.18514417
Dictyostelium_purpureum,purpureum,B11,92956680,0.18514417
Dictyostelium_purpureum,purpureum,B11,296947500,0.18514417
Dictyostelium_purpureum,purpureum,B11,465844500,0.18514417
Dictyostelium_purpureum,purpureum,B11,392625200,0.18514417
Dictyostelium_purpureum,purpureum,B70,105844800,0.18514417
