"","distance_from_discoideum","fit","se","lower","upper"
"1",0,-0.196833232161618,0.113307649222259,-0.418916224637246,0.0252497603140101
"2",0.0032793097979798,-0.199797917552986,0.111773878957125,-0.41887472030895,0.0192788852029785
"3",0.0065586195959596,-0.202762602944354,0.110265477356598,-0.418882938563287,0.0133577326745788
"4",0.00983792939393939,-0.205727288335722,0.108783499718221,-0.418942947783434,0.00748837111199072
"5",0.0131172391919192,-0.20869197372709,0.107329040617714,-0.419056893337809,0.0016729458836291
"6",0.016396548989899,-0.211656659118458,0.105903233867539,-0.419226997498834,-0.00408632073808127
"7",0.0196758587878788,-0.214621344509826,0.104507252198092,-0.419455558818086,-0.00978713020156563
"8",0.0229551685858586,-0.217586029901194,0.103142306620986,-0.419744950878327,-0.0154271089240602
"9",0.0262344783838384,-0.220550715292562,0.101809645431603,-0.420097620338503,-0.02100381024662
"10",0.0295137881818182,-0.22351540068393,0.100510552806304,-0.420516084184286,-0.0265147171835729
"11",0.032793097979798,-0.226480086075298,0.0992463469486823,-0.421002926094715,-0.0319572460558804
"12",0.0360724077777778,-0.229444771466666,0.0980183777390577,-0.421560791835219,-0.0373287510981123
"13",0.0393517175757576,-0.232409456858033,0.0968280238425019,-0.422192383589337,-0.0426265301267298
"14",0.0426310273737374,-0.235374142249401,0.0956766892330661,-0.422900453146211,-0.0478478313525919
"15",0.0459103371717172,-0.238338827640769,0.0945657990960072,-0.423687793868944,-0.0529898614125953
"16",0.049189646969697,-0.241303513032137,0.0934967950757735,-0.424557231380653,-0.0580497946836213
"17",0.0524689567676768,-0.244268198423505,0.0924711298456176,-0.425511612920916,-0.0630247839260949
"18",0.0557482665656566,-0.247232883814873,0.09149026098508,-0.42655379534563,-0.0679119722841166
"19",0.0590275763636364,-0.250197569206241,0.0905556441643486,-0.427686631768365,-0.072708506644118
"20",0.0623068861616162,-0.253162254597609,0.089668725649645,-0.428912956870913,-0.077411552324305
"21",0.065586195959596,-0.256126939988977,0.0888309341612007,-0.430235570944931,-0.0820183090330238
"22",0.0688655057575758,-0.259091625380345,0.0880436721348044,-0.431657222764562,-0.0865260279961285
"23",0.0721448155555555,-0.262056310771713,0.0873083064588897,-0.433180591431137,-0.0909320301122892
"24",0.0754241253535353,-0.265020996163081,0.086626158781092,-0.434808267374022,-0.0952337249521407
"25",0.0787034351515151,-0.267985681554449,0.0859984955003495,-0.436542732735134,-0.0994286303737641
"26",0.081982744949495,-0.270950366945817,0.0854265175820095,-0.438386341406556,-0.103514392485078
"27",0.0852620547474748,-0.273915052337185,0.0849113503529666,-0.440341299029,-0.10748880564537
"28",0.0885413645454545,-0.276879737728553,0.0844540334504409,-0.442409643291417,-0.111349832165689
"29",0.0918206743434343,-0.279844423119921,0.0840555111104634,-0.444593224896429,-0.115095621343413
"30",0.0950999841414141,-0.282809108511289,0.0837166229893644,-0.446893689570443,-0.118724527452135
"31",0.0983792939393939,-0.285773793902657,0.0834380957126577,-0.449312461499466,-0.122235126305848
"32",0.101658603737374,-0.288738479294025,0.0832205353399926,-0.45185072856041,-0.125626230027639
"33",0.104937913535354,-0.291703164685393,0.0830644209219831,-0.45450942969248,-0.128896899678306
"34",0.108217223333333,-0.294667850076761,0.0829700993047671,-0.457289244714104,-0.132046455439417
"35",0.111496533131313,-0.297632535468129,0.0829377813115986,-0.460190586838862,-0.135074484097396
"36",0.114775842929293,-0.300597220859497,0.0829675393985339,-0.463213598080623,-0.13798084363837
"37",0.118055152727273,-0.303561906250865,0.0830593068446462,-0.466358147666371,-0.140765664835358
"38",0.121334462525253,-0.306526591642233,0.0832128784977903,-0.469623833497902,-0.143429349786564
"39",0.124613772323232,-0.309491277033601,0.0834279130565546,-0.473009986624448,-0.145972567442754
"40",0.127893082121212,-0.312455962424969,0.0837039368295491,-0.476515678610885,-0.148396246239052
"41",0.131172391919192,-0.315420647816336,0.0840403488764019,-0.480139731614084,-0.150701564018589
"42",0.134451701717172,-0.318385333207704,0.0844364274023875,-0.483880730916384,-0.152889935499025
"43",0.137731011515152,-0.321350018599072,0.0848913372518012,-0.487737039612603,-0.154962997585542
"44",0.141010321313131,-0.32431470399044,0.085404138324958,-0.491706815107358,-0.156922592873523
"45",0.144289631111111,-0.327279389381808,0.0859737947305291,-0.495788027053645,-0.158770751709971
"46",0.147568940909091,-0.330244074773176,0.0865991844789248,-0.499978476351869,-0.160509673194484
"47",0.150848250707071,-0.333208760164544,0.087279109523251,-0.504275814830116,-0.162141705498972
"48",0.15412756050505,-0.336173445555912,0.0880123059613684,-0.508677565240194,-0.16366932587163
"49",0.15740687030303,-0.33913813094728,0.0887974542248397,-0.513181141227966,-0.165095120666594
"50",0.16068618010101,-0.342102816338648,0.089633189096989,-0.517783866968747,-0.16642176570855
"51",0.16396548989899,-0.345067501730016,0.0905181094217603,-0.522482996196666,-0.167652007263366
"52",0.16724479969697,-0.348032187121384,0.0914507873863973,-0.527275730398723,-0.168788643844045
"53",0.17052410949495,-0.350996872512752,0.0924297772830997,-0.532159235987627,-0.169834509037877
