"","distance_from_discoideum","fit","se","lower","upper"
"1",0,0.330106548470857,0.350148900163604,0.198770737302771,0.494647366652613
"2",0.0032793097979798,0.328588806519601,0.344492026554002,0.199443042590101,0.490158710311728
"3",0.0065586195959596,0.327074635657192,0.338908387293828,0.200094078496606,0.485707495722052
"4",0.00983792939393939,0.325564058915077,0.333401661876844,0.200722520112053,0.481296182224671
"5",0.0131172391919192,0.324057099046205,0.32797572448536,0.201326976534941,0.47692728433828
"6",0.016396548989899,0.32255377852433,0.322634651124875,0.20190598903848,0.472603372620508
"7",0.0196758587878788,0.321054119543374,0.317382726225862,0.202458029523143,0.46832707426424
"8",0.0229551685858586,0.319558144016817,0.312224448517359,0.202981499335379,0.464101073351
"9",0.0262344783838384,0.318065873577133,0.307164535945632,0.203474728543563,0.459928110671901
"10",0.0295137881818182,0.316577329575273,0.302207929377671,0.203935975774323,0.455810983014534
"11",0.032793097979798,0.315092533080183,0.297359794794288,0.204363428724687,0.451752541801772
"12",0.0360724077777778,0.313611504878361,0.292625523642043,0.20475520547761,0.447755690956263
"13",0.0393517175757576,0.312134265473461,0.288010730978512,0.205109356759812,0.443823383852942
"14",0.0426310273737374,0.310660835085933,0.283521251013203,0.205423869290755,0.439958619211875
"15",0.0459103371717172,0.309191233652708,0.279163129619089,0.205696670379041,0.436164435776231
"16",0.049189646969697,0.307725480826913,0.274942613369907,0.205925633926469,0.432443905616083
"17",0.0524689567676768,0.306263595977641,0.270866134649464,0.206108587999163,0.428800125899524
"18",0.0557482665656566,0.304805598189745,0.266940292384884,0.206243324118039,0.425236208979572
"19",0.0590275763636364,0.30335150626368,0.263171827980182,0.206327608406025,0.421755270660131
"20",0.0623068861616162,0.301901338715385,0.259567596074031,0.206359194705234,0.41836041652837
"21",0.065586195959596,0.3004551137762,0.256134529820151,0.206335839742312,0.415054726275759
"22",0.0688655057575758,0.299012849392821,0.252879600494081,0.206255320373362,0.411841235976739
"23",0.0721448155555555,0.297574563227294,0.249809771368575,0.206115452880467,0.408722918353258
"24",0.0754241253535353,0.296140272657052,0.24693194597239,0.205914114220043,0.405702661125126
"25",0.0787034351515151,0.294709994774982,0.244252911052295,0.20564926504001,0.402783243629254
"26",0.081982744949495,0.293283746389531,0.241779274791384,0.205318974190409,0.39996731198315
"27",0.0852620547474748,0.291861544024855,0.239517401090384,0.204921444353979,0.397257353166031
"28",0.0885413645454545,0.290443403920997,0.237473340981371,0.204455038324415,0.394655668489636
"29",0.0918206743434343,0.289029342034106,0.235652762500112,0.203918305366511,0.392164347024242
"30",0.0950999841414141,0.287619374036689,0.234060880576683,0.203310007011454,0.389785239626247
"31",0.0983792939393939,0.286213515317902,0.232702388694331,0.202629141579517,0.387519934274627
"32",0.101658603737374,0.284811780983873,0.231581394194526,0.201874966688829,0.385369733457049
"33",0.104937913535354,0.283414185858065,0.230701359153845,0.20104701900892,0.383335634346348
"34",0.108217223333333,0.282020744481664,0.230065048712532,0.200145130555811,0.381418312469931
"35",0.111496533131313,0.280631471114013,0.22967448858784,0.199169440903251,0.37961810949677
"36",0.114775842929293,0.279246379733074,0.229530933258221,0.198120404800783,0.377935025650494
