taxonomy,species,infect,rfpper,distance_from_discoideum
Polysphondylium_violaceum,violaceum,B11,64.8,0.32465167
Polysphondylium_violaceum,violaceum,B70,14.9,0.32465167
Polysphondylium_violaceum,violaceum,B70,32.6,0.32465167
Polysphondylium_violaceum,violaceum,B70,35.7,0.32465167
Polysphondylium_violaceum,violaceum,B70,22.7,0.32465167
Polysphondylium_violaceum,violaceum,B859,61,0.32465167
Polysphondylium_violaceum,violaceum,B859,70,0.32465167
Polysphondylium_violaceum,violaceum,B859,86.4,0.32465167
Polysphondylium_violaceum,violaceum,B859,35.7,0.32465167
Polysphondylium_violaceum,violaceum,KP,0.5,0.32465167
Polysphondylium_violaceum,violaceum,KP,2.8,0.32465167
Polysphondylium_violaceum,violaceum,KP,4,0.32465167
Polysphondylium_violaceum,violaceum,KP,0.5,0.32465167
Polysphondylium_violaceum,violaceum,B11,7.3,0.32465167
Polysphondylium_violaceum,violaceum,B11,27.4,0.32465167
Polysphondylium_violaceum,violaceum,B11,32,0.32465167
Polysphondylium_violaceum,violaceum,B70,2.5,0.32465167
Polysphondylium_violaceum,violaceum,B70,20.2,0.32465167
Polysphondylium_violaceum,violaceum,B70,22.6,0.32465167
Polysphondylium_violaceum,violaceum,B859,77.3,0.32465167
Polysphondylium_violaceum,violaceum,B859,88.5,0.32465167
Polysphondylium_violaceum,violaceum,B859,88.7,0.32465167
Polysphondylium_violaceum,violaceum,KP,1,0.32465167
Polysphondylium_violaceum,violaceum,KP,1.1,0.32465167
Polysphondylium_violaceum,violaceum,KP,1.3,0.32465167
Polysphondylium_violaceum,violaceum,B11,0.5,0.32465167
Polysphondylium_violaceum,violaceum,B11,0.6,0.32465167
Polysphondylium_violaceum,violaceum,B11,1.1,0.32465167
Polysphondylium_violaceum,violaceum,B11,7.7,0.32465167
Polysphondylium_violaceum,violaceum,B70,0.7,0.32465167
Polysphondylium_violaceum,violaceum,B70,2.6,0.32465167
Polysphondylium_violaceum,violaceum,B70,3.5,0.32465167
Polysphondylium_violaceum,violaceum,B70,8,0.32465167
Polysphondylium_violaceum,violaceum,B859,1.1,0.32465167
Polysphondylium_violaceum,violaceum,B859,1.3,0.32465167
Polysphondylium_violaceum,violaceum,B859,1.7,0.32465167
Polysphondylium_violaceum,violaceum,B859,3.7,0.32465167
Polysphondylium_violaceum,violaceum,KP,0.1,0.32465167
Polysphondylium_violaceum,violaceum,KP,0.3,0.32465167
Polysphondylium_violaceum,violaceum,KP,0.5,0.32465167
Polysphondylium_violaceum,violaceum,KP,1,0.32465167
