"","distance_from_discoideum","fit","se","lower","upper"
"1",0,-1.12821356544968,0.3396196006878,-1.79386798279776,-0.462559148101588
"2",0.0032793097979798,-1.12682229606731,0.335054392752219,-1.78352890586165,-0.470115686272957
"3",0.0065586195959596,-1.12543102668494,0.330561859283425,-1.77333227088045,-0.477529782489423
"4",0.00983792939393939,-1.12403975730257,0.326145003491409,-1.76328396414573,-0.484795550459404
"5",0.0131172391919192,-1.1226484879202,0.321806941458768,-1.75339009317938,-0.491906882661011
"6",0.016396548989899,-1.12125721853783,0.317550902405932,-1.74365698725345,-0.498857449822198
"7",0.0196758587878788,-1.11986594915546,0.313380228230398,-1.73409119648704,-0.505640701823875
"8",0.0229551685858586,-1.11847467977309,0.309298372210056,-1.7246994893048,-0.512249870241376
"9",0.0262344783838384,-1.11708341039072,0.305308896753737,-1.71548884802804,-0.518677972753392
"10",0.0295137881818182,-1.11569214100835,0.3014154700763,-1.70646646235789,-0.524917819658799
"11",0.032793097979798,-1.11430087162598,0.297621861671465,-1.69763972050205,-0.530962022749904
"12",0.0360724077777778,-1.11290960224361,0.293931936453663,-1.68901619769279,-0.536803006794426
"13",0.0393517175757576,-1.11151833286124,0.290349647441066,-1.68060364184573,-0.542433023876746
"14",0.0426310273737374,-1.11012706347887,0.286879026856342,-1.6724099561173,-0.547844170840435
"15",0.0459103371717172,-1.1087357940965,0.283524175530186,-1.66444317813566,-0.553028410057331
"16",0.049189646969697,-1.10734452471413,0.280289250506046,-1.65671145570598,-0.557977593722276
"17",0.0524689567676768,-1.10595325533176,0.277178450763312,-1.64922301882785,-0.562683491835665
"18",0.0557482665656566,-1.10456198594939,0.274196001001105,-1.64198614791155,-0.567137823987221
"19",0.0590275763636364,-1.10317071656702,0.271346133456118,-1.63500913814101,-0.571332294993025
"20",0.0623068861616162,-1.10177944718465,0.268633067765888,-1.62830026000579,-0.575258634363505
"21",0.065586195959596,-1.10038817780228,0.266060988933324,-1.62186771611159,-0.57890863949296
"22",0.0688655057575758,-1.09899690841991,0.263634023498835,-1.61571959447762,-0.582274222362189
"23",0.0721448155555555,-1.09760563903754,0.261356214082102,-1.60986381863846,-0.585347459436616
"24",0.0754241253535353,-1.09621436965517,0.259231492515115,-1.60430809498479,-0.58812064432554
"25",0.0787034351515151,-1.0948231002728,0.257263651849689,-1.59905985789819,-0.590586342647405
"26",0.081982744949495,-1.09343183089043,0.255456317584047,-1.59412621335516,-0.592737448425693
"27",0.0852620547474748,-1.09204056150806,0.253812918511459,-1.58951388179052,-0.594567241225597
"28",0.0885413645454545,-1.09064929212569,0.252336657646381,-1.58522914111259,-0.59606944313878
"29",0.0918206743434343,-1.08925802274332,0.251030483726834,-1.58127777084791,-0.597238274638721
"30",0.0950999841414141,-1.08786675336095,0.249897063822786,-1.57766499845361,-0.598068508268286
"31",0.0983792939393939,-1.08647548397858,0.24893875759614,-1.57439544886701,-0.598555519090141
"32",0.101658603737374,-1.08508421459621,0.248157593756286,-1.57147309835853,-0.598695330833885
"33",0.104937913535354,-1.08369294521384,0.247555249234286,-1.56890123371304,-0.598484656714636
"34",0.108217223333333,-1.08230167583147,0.247133031558163,-1.56668241768547,-0.597920933977466
"35",0.111496533131313,-1.0809104064491,0.246891864851692,-1.56481846155841,-0.59700235133978
"36",0.114775842929293,-1.07951913706673,0.246832279801293,-1.56331040547726,-0.595727868656192
"37",0.118055152727273,-1.07812786768436,0.246954407842826,-1.56215850705629,-0.594097228312417
"38",0.121334462525253,-1.07673659830199,0.247257979715999,-1.56136223854534,-0.592110958058628
"39",0.124613772323232,-1.07534532891962,0.24774232842333,-1.56092029262934,-0.589770365209889
"40",0.127893082121212,-1.07395405953725,0.248406396518142,-1.5608305967128,-0.587077522361688
"41",0.131172391919192,-1.07256279015488,0.24924874753704,-1.56109033532747,-0.584035244982278
"42",0.134451701717172,-1.07117152077251,0.250267581291659,-1.56169598010416,-0.580647061440854
"43",0.137731011515152,-1.06978025139014,0.251460752646433,-1.56264332657714,-0.576917176203127
"44",0.141010321313131,-1.06838898200777,0.252825793337198,-1.56392753694867,-0.572850427066858
"45",0.144289631111111,-1.0669977126254,0.254359936331954,-1.56554318783603,-0.568452237414765
"46",0.147568940909091,-1.06560644324303,0.256060142201295,-1.56748432195756,-0.563728564528487
"47",0.150848250707071,-1.06421517386066,0.257923126951886,-1.56974450268635,-0.558685845034959
"48",0.15412756050505,-1.06282390447829,0.259945390780967,-1.57231687040898,-0.553330938547591
"49",0.15740687030303,-1.06143263509592,0.26212324723122,-1.57519419966911,-0.547671070522724
"50",0.16068618010101,-1.06004136571355,0.264452852260944,-1.578368956145,-0.541713775282095
"51",0.16396548989899,-1.05865009633118,0.266930232791263,-1.58183335260205,-0.535466840060301
"52",0.16724479969697,-1.05725882694881,0.269551314346983,-1.58557940306889,-0.528938250828719
"53",0.17052410949495,-1.05586755756644,0.272311947467447,-1.58959897460263,-0.52213614053024
"54",0.173803419292929,-1.05447628818407,0.275207932625462,-1.59388383612997,-0.515068740238161
"55",0.177082729090909,-1.0530850188017,0.278235043453529,-1.59842570397061,-0.507744333632779
"56",0.180362038888889,-1.05169374941933,0.281389048135021,-1.60321628376397,-0.500171215074685
"57",0.183641348686869,-1.05030248003696,0.284665728871985,-1.60824730862605,-0.492357651447865
"58",0.186920658484848,-1.04891121065459,0.28806089938977,-1.61351057345854,-0.484311847850637
"59",0.190199968282828,-1.04751994127222,0.291570420480898,-1.61899796541478,-0.476041917129657
