date,taxonomy,species,clone,rep,infect,rfpper,total_spore,spore_norm_kp,confident,distance_from_discoideum
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,1,B11,15.9,81418980,0.689797277,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,2,B11,11.1,2067200,0.05156038,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,3,B11,66.4,191206800,2.786413279,1,0.0294996
4/14/21,Dictyostelium_citrinum,citrinum,Cit3,5,B11,64.9,79023840,2.590315405,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,1,B70,5.5,91734540,0.777192688,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,2,B70,16.5,94501720,2.357074587,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,3,B70,9.1,49033100,0.714548232,1,0.0294996
4/6/21,Dictyostelium_citrinum,citrinum,Cit3,4,B70,2.4,87628640,0.730528321,1,0.0294996
4/14/21,Dictyostelium_citrinum,citrinum,Cit3,5,B70,7.5,42551520,1.39479248,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,1,B859,52.7,57198600,0.484597554,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,2,B859,68.9,201707840,5.031024024,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,3,B859,76.2,298027000,4.343079798,1,0.0294996
4/6/21,Dictyostelium_citrinum,citrinum,Cit3,4,B859,54,414119160,3.452361861,1,0.0294996
4/14/21,Dictyostelium_citrinum,citrinum,Cit3,5,B859,56.9,150225020,4.924212536,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,1,KP,0.5,118033200,1,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,2,KP,1,40092800,1,1,0.0294996
3/30/21,Dictyostelium_citrinum,citrinum,Cit3,3,KP,1.4,68621120,1,1,0.0294996
4/6/21,Dictyostelium_citrinum,citrinum,Cit3,4,KP,0.1,119952420,1,1,0.0294996
4/14/21,Dictyostelium_citrinum,citrinum,Cit3,5,KP,2,30507420,1,1,0.0294996
6.4.19,Dictyostelium_discoideum,discoideum,qs18,1,B11,87.3,93153750,0.170862137,0.5,0
6.4.19,Dictyostelium_discoideum,discoideum,qs18,2,B11,89.3,86116400,0.171816242,0.5,0
10.10.18,Dictyostelium_discoideum,discoideum,qs18,3,B11,93.4,138073760,0.275479636,1,0
10.30.18,Dictyostelium_discoideum,discoideum,qs18,1,B70,20.8,314232000,0.576362744,1,0
12.5.18,Dictyostelium_discoideum,discoideum,qs18,2,B70,32.4,276440320,0.527331754,0.5,0
12.5.18,Dictyostelium_discoideum,discoideum,qs18,3,B70,37.3,353537520,0.667460965,0.5,0
10.10.18,Dictyostelium_discoideum,discoideum,qs18,4,B70,38.7,264249700,0.541940389,1,0
10.10.18,Dictyostelium_discoideum,discoideum,qs18,1,B859,95,298214000,0.611596574,0.5,0
10.30.18,Dictyostelium_discoideum,discoideum,qs18,2,B859,97,397513200,0.8152458,1,0
10.10.18,Dictyostelium_discoideum,discoideum,qs18,3,B859,99,517168080,0.948587076,0.5,0
10.30.18,Dictyostelium_discoideum,discoideum,qs18,1,KP,0,545198320,1,1,0
