"","distance_from_discoideum","fit","se","lower","upper"
"1",0,0.57525291858575,0.281472514600879,0.43822468523028,0.701615381087738
"2",0.0032793097979798,0.57483869261847,0.27698033936767,0.439975708756589,0.699412601827631
"3",0.0065586195959596,0.574424361541855,0.27255788832583,0.44169452685836,0.697229428669709
"4",0.00983792939393939,0.574009925911373,0.268208610512338,0.443379347744154,0.695067711324314
"5",0.0131172391919192,0.573595386283074,0.263936123312442,0.445028299252148,0.692929384047649
"6",0.016396548989899,0.573180743213586,0.259744216099916,0.44663942722115,0.690816467266259
"7",0.0196758587878788,0.572765997260112,0.2556368529329,0.448210694327108,0.688731068733286
"8",0.0229551685858586,0.572351148980426,0.251618174084131,0.44973997949285,0.686675384108745
"9",0.0262344783838384,0.571936198932874,0.247692496158735,0.451225077991259,0.684651696843581
"10",0.0295137881818182,0.571521147676365,0.243864310527752,0.452663702374278,0.682662377235135
"11",0.032793097979798,0.571105995770375,0.240138279782555,0.45405348437128,0.68070988051043
"12",0.0360724077777778,0.570690743774938,0.236519231895825,0.455391977909899,0.678796743784211
"13",0.0393517175757576,0.570275392250647,0.233012151760751,0.456676663419199,0.676925581731833
"14",0.0426310273737374,0.569859941758651,0.229622169773908,0.457904953578138,0.675099080814054
"15",0.0459103371717172,0.569444392860647,0.226354547131481,0.459074200670272,0.673319991892785
"16",0.049189646969697,0.569028746118885,0.223214657525969,0.46018170569721,0.671591121085286
"17",0.0524689567676768,0.56861300209616,0.220207964964239,0.461224729386998,0.669915318720651
"18",0.0557482665656566,0.568197161355808,0.217339997480595,0.462200505207991,0.668295466288017
"19",0.0590275763636364,0.567781224461707,0.214616316593022,0.463106254462641,0.666734461302105
"20",0.0623068861616162,0.567365191978273,0.212042482448602,0.463939203488115,0.665235200059178
"21",0.065586195959596,0.566949064470453,0.209624014726111,0.464696602931351,0.663800558315844
"22",0.0688655057575758,0.566532842503728,0.207366349509119,0.465375748995529,0.662433369993739
"23",0.0721448155555555,0.566116526644107,0.205274792508727,0.465974006474254,0.661136404093836
"24",0.0754241253535353,0.565700117458122,0.203354469196479,0.466488833301404,0.659912340092437
"25",0.0787034351515151,0.565283615512831,0.201610272597356,0.466917806252307,0.658763742183244
"26",0.081982744949495,0.564867021375807,0.200046809680377,0.467258647340358,0.657693032821417
"27",0.0852620547474748,0.564450335615142,0.198668347458097,0.467509250368198,0.656702466110538
"28",0.0885413645454545,0.564033558799442,0.197478760053033,0.467667707020697,0.655794101645297
"29",0.0918206743434343,0.563616691497819,0.196481478094892,0.467732331834725,0.654969779474949
"30",0.0950999841414141,0.563199734279897,0.195679441864856,0.467701685354452,0.654231096878855
"31",0.0983792939393939,0.562782687715802,0.195075059591551,0.467574594785658,0.653579387640683
